tid,max_dir,min_dist,max_dist,avg_dir,min_dir,max_speed,min_speed,avg_speed,avg_dist,id,label
30,135.81,0.0,17444.4,6.89380281770103,0.0,4.89,0.0,3.73676055417934,8730.54697128081,30,Fishing
31,72.7585,0.0,15616.1,2.92404423891516,0.0,4.06356,0.0,3.3046122779558,8295.84189614097,31,Fishing
32,171.789,111.195,17278.4,19.0206379792077,2.55795e-12,4.67892,0.132375,2.80626782633009,7081.57047794887,32,Fishing
33,35.5599,4186.77,11143.0,10.0267145454884,0.0541548,4.10468,3.92639,4.02267518043518,7261.497265625,33,NotFishing
34,169.727,710.17,14241.4,21.4506423094056,0.261707,4.05933,0.538007,2.74342269247228,6421.56826874704,34,Fishing
35,1.93536,3101.03,12598.6,0.941358331590891,0.138426,4.46758,4.2801,4.37854993343353,7881.96136474609,35,NotFishing
36,177.973,598.166,17192.0,28.4306920186469,0.166996,4.71058,0.808925,3.10042808244103,8423.93509071752,36,Fishing
37,147.831,598.227,16670.1,16.2654355008085,0.231341,4.8029,0.312961,2.67904874007657,5936.16433427919,37,Fishing
38,29.9159,2508.59,17744.8,3.21291921453343,0.0208121,5.00278,4.07501,4.55713992648655,11090.4121500651,38,Fishing
39,177.663,896.466,16457.6,26.3144743469145,0.0601973,4.7273,0.521486,2.93925465345383,6781.106640625,39,Fishing
40,1.10171,3447.04,11566.4,0.906417310237885,0.498212,4.59665,4.36059,4.4649076461792,6589.05792236328,40,NotFishing
41,177.621,248.639,17480.2,28.7543902071193,0.196602,4.75626,0.276266,3.05832129716873,6582.7471446991,41,NotFishing
42,2.47463,3893.39,12906.2,1.39422117173672,0.534871,4.19071,4.05562,4.12020647525787,7428.28057861328,42,NotFishing
43,170.729,471.759,17406.5,33.0512181743983,1.16529e-11,4.81661,0.65522,2.96398185359107,7449.77975294325,43,NotFishing
44,166.154,333.584,17491.5,33.4059075965565,0.0299742,4.92057,0.285914,2.86896304892642,6693.94367669553,44,NotFishing
45,8.28009,3241.8,13717.9,2.87352498869101,0.286477,3.97444,3.80995,3.87099087238312,6961.3574625651,45,NotFishing
46,168.039,809.281,15586.7,23.3532067739194,0.476461,4.83904,0.377986,2.95621965104534,7536.02708188949,46,Fishing
47,8.78877,3859.79,17693.0,2.28647048839114,0.0157692,4.71879,4.10856,4.48057833584872,12368.7253491951,47,Fishing
48,113.839,566.807,16765.4,11.1065682953315,5.17275e-12,4.67003,0.379686,3.16681535187222,7939.84326462519,48,Fishing
49,165.321,702.94,15573.6,25.7396480496973,0.0,4.4284,0.247442,2.88010236093154,6792.33336385091,49,Fishing
50,2.32724,3337.34,8012.13,1.25839206948876,0.081213,4.18079,3.88279,4.04133176803589,6160.70304361979,50,NotFishing
51,178.493,248.541,17133.0,26.7284561437341,0.0,4.93533,0.216044,2.8777273438119,6729.20680600788,51,Fishing
52,180.0,0.0,17910.9,8.97776849269065,0.0,4.82001,0.0,3.39251588676259,8002.84959005452,52,Fishing
53,62.2415,0.0,17425.3,3.40859555837608,0.0,4.6774,0.0,3.98331204008672,9987.3996952426,53,Fishing
54,166.759,497.07,15587.1,31.5912877230288,0.136094,6.45122,0.461135,3.19359877357235,7500.4807568835,54,NotFishing
55,41.0802,2918.62,10096.0,16.3311850875616,1.79928,3.47455,1.79826,2.93161657452583,6278.3876953125,55,NotFishing
56,177.854,1572.03,17711.9,28.2682355131126,0.0900027,4.65328,0.945099,3.28614232771926,7212.3057691786,56,NotFishing
57,50.1315,3184.76,10990.3,23.2152006149292,9.59232,3.10584,2.40489,2.81904988288879,6798.65102539063,57,NotFishing
58,172.107,555.881,16327.3,28.5607497437671,0.0239031,4.37573,0.403172,2.66808877289295,6194.10711303711,58,NotFishing
59,50.0974,4537.19,9169.23,18.2241002321243,2.03004,3.00367,2.10064,2.61669663588206,6157.12052408854,59,NotFishing
60,106.341,1296.69,12390.1,29.3451182805002,0.23627,4.6932,0.360191,2.00955715030432,3703.74139404297,60,NotFishing
61,154.208,598.697,13972.2,24.9156383052468,0.0982774,4.99169,0.419939,2.78154418489029,6068.01856310614,61,Fishing
62,20.4799,3786.56,13600.5,9.68099629878998,2.63243,3.71598,1.46766,2.87123501300812,8945.29504394531,62,NotFishing
63,167.425,868.422,18339.9,18.6433852210089,0.234686,4.90111,0.546428,3.13365404914927,7308.1686763057,63,Fishing
64,29.6796,2115.59,13786.6,11.2505423650146,0.0771141,3.76336,2.90157,3.27592802047729,9874.37556966146,64,NotFishing
65,178.698,333.585,14830.7,27.1428336465938,0.0,4.11084,0.213836,2.35572007174293,5732.53467559814,65,Fishing
66,137.33,2520.93,13334.1,36.4034185409546,6.79728,4.11547,1.46026,2.58499867916107,7951.116796875,66,NotFishing
67,172.048,458.461,18287.9,20.4566016034551,0.113009,6.65305,0.149824,2.79326289745284,6530.43838457994,67,Fishing
68,168.81,2289.54,8573.06,25.963452283293,0.319536,3.23636,1.89644,2.27642147243023,5290.33316040039,68,Fishing
69,55.7007,1903.17,11192.3,8.24622496838371,0.176838,3.18452,0.656651,2.52024275561174,5881.49436442057,69,NotFishing
70,178.238,351.626,19867.7,17.9770984534256,4.09273e-12,5.06954,0.481859,3.06788470174955,7404.90470819888,70,Fishing
71,83.6744,1941.89,12493.6,6.48343030810356,0.0223841,3.01777,1.48987,2.69855942249298,7351.46528320313,71,Fishing
72,173.907,333.585,15356.2,24.7377423389283,0.0295644,4.13426,0.327044,2.95299059365477,7389.12892586844,72,Fishing
73,81.5498,1512.36,10717.4,20.501856058836,1.35117,3.8373,1.05025,2.57595321536064,5719.66984558105,73,NotFishing
74,172.443,497.273,14738.5,23.7870249232062,0.0604386,4.70099,0.306959,3.10548130365518,6695.03423514733,74,Fishing
